Name,Genre,Publisher,Year,Global_Sales
Sharable bifurcated algorithm,Adventure,"Maharaj, Konda and Kapoor",2013,37.1
Devolved user-facing benchmark,Shooter,"Chahal, Sami and Balay",2016,7.06
Assimilated background data-warehouse,Adventure,Tiwari PLC,2023,37.06
Assimilated next generation customer loyalty,Adventure,"Saini, Kannan and Sen",2022,21.15
Reverse-engineered even-keeled workforce,Action,Dutta Ltd,2014,11.01
Optimized global focus group,Action,Kale LLC,2021,10.02
Customer-focused background implementation,Puzzle,Parmer LLC,2016,22.52
Robust empowering workforce,Sports,Sharaf PLC,2013,37.96
Decentralized homogeneous artificial intelligence,RPG,"Memon, Pathak and Handa",2019,17.08
Triple-buffered asymmetric analyzer,RPG,"Kari, Mann and Buch",2016,47.86
Focused bandwidth-monitored implementation,Racing,Setty-Patla,2014,4.73
Diverse holistic help-desk,Adventure,Loke Ltd,2018,42.39
Synergized secondary archive,Sports,"Garg, Walla and Konda",2013,36.51
Diverse maximized implementation,Adventure,Kanda-Nair,2019,4.03
Visionary zero-defect approach,Sports,Balay LLC,2023,30.96
Open-architected encompassing architecture,Racing,Murty and Sons,2022,9.7
Streamlined modular infrastructure,Adventure,"Shanker, Dhar and Lanka",2013,33.1
Devolved dynamic synergy,Sports,"Yohannan, Lall and Sangha",2014,42.78
Reduced impactful hierarchy,Adventure,Devi PLC,2019,13.97
Proactive background system engine,Racing,Choudhary and Sons,2015,18.57
Self-enabling cohesive utilization,Shooter,"Sami, Bhatt and Rajan",2023,13.42
Multi-tiered radical Local Area Network,Adventure,"Krishnamurthy, Apte and Contractor",2022,31.79
Synergized national system engine,Shooter,Oak-Choudhury,2015,23.17
Implemented intermediate complexity,Sports,Aggarwal-Lall,2023,34.44
Profit-focused well-modulated conglomeration,Shooter,"Cherian, Misra and Tripathi",2023,16.28
Robust dedicated collaboration,Action,Edwin-Zacharia,2016,41.11
Vision-oriented multi-tasking ability,Racing,"Naik, Suresh and Bahl",2019,13.46
Customizable high-level workforce,Shooter,Khatri-Bhardwaj,2022,43.83
Front-line non-volatile artificial intelligence,Racing,Sunder Inc,2016,32.81
Virtual national throughput,Puzzle,Dave Ltd,2023,23.0
Phased neutral concept,Sports,Wable-Sampath,2015,12.41
Extended needs-based system engine,Sports,"Iyer, Muni and Rastogi",2022,21.48
